PDF Name,Job role,skills,Education
18354623.pdf,DIGITAL MARKETING MANAGER, Branding Metrics Content Digital marketing Xml Process Video Real-time Strategy Css Javascript Website Conversion Seo Strategic plans Architecture System Design Budget Marketing Visual Email Schedule Reports Ms project Specifications Adobe Visio Sales Photoshop Advertising Html Pdf Engineering Agile Training Presentation Research Illustrator Vendors Migration Cms Technical Recruiting Php Project management Swift Analytics Analysis Social media Workflow,BACHELORS OF SCIENCE
17562754.pdf,DIRECTOR OF DIGITAL TRANSFORMATION, Writing Content Mobile Video Editorial Strategy Business development Seo Newspaper Operations Design Marketing Journalism Advertising Spanish Digital media Research Editing Analytics Social media International,Master in Journalism (MA) Bachelor's Degree (BA)
18501746.pdf,PROGRAMMATIC MEDIA SUPERVISOR, Data analysis Mobile Requests Inventory Process Key performance indicators Video Reconciliation Strategy Budget Account management Reports Plan Invoices Supervisor Training Digital media Research Rfp Kpi Analysis,BA   :  Broadcasting & Mass Media
81508860.pdf,DIGITAL MARKETING DIRECTOR, Partnerships Metrics Content Event planning Legal Photography Css Administration Human resources Product development Seo Design Budget Marketing Quickbooks Reports Startup Updates Information technology Presentations Communication Networking Coding Sales Immigration Html Time management Budgeting Non-profit Microsoft office Facebook Research Logistics Testing Technical Recruiting Powerpoint Project management Human resource Analytics Salesforce Social media International Investigation Twitter,MBA
29915354.pdf,DIGITAL MEDIA PRODUCER, Writing Lighting Content Distribution Video Troubleshooting Travel Design Teaching Communication Audio Adobe Fundraising Photoshop Spelling Training Presentation Illustrator Editing International,Master of Arts   :  Digital Media Production/Communications
34583750.pdf,PAID MEDIA SPECIALIST, Partnerships Sales Retention Tv Contract management Advertising Crm Customer service System Marketing Plan Process Sharepoint Training Communication Strategy Rfp Improvement,Bachelor of Science   :  Management Marketing Communications
26341987.pdf,DIRECTOR IT CLIENT SERVICES FILMS & OPERATIONS AND TECHNICAL SERVICES WEST COAST, Tv Metrics Content Distribution Policies International Inventory Process Video Negotiation Recruitment Client services Hardware Contracts Sql Operations Lan Architecture System Budget Email Reports Plan Schedule Itil Updates Information technology Standard operating procedures Intranet Communication Sdlc Security Health Cisco Acquisition Programming Servers Purchasing Wifi Procurement Rfps Supervisor Vendor management Banking Budgeting Engineering Training Presentation It infrastructure Ibm Licensing Kpi Vendors Migration End user Access Healthcare Technical Erp Electronics Dns Compliance Retention Active directory Windows Telecom Broadcast Workflow Staffing Electrical Analytical Desktop support,Director of IT Services Master of Science   :  Computer Information Systems Computer Information Systems Bachelor of Science   :  Electrical and Electronics Engineer Information Technology Infrastructure Library (ITIL) Foundation Certified Implementing Cisco Unified Communications Manager  Part 1 8.0
27921561.pdf,DIGITAL PREMEDIA SPECIALIST, Process Microsoft office suite Process improvement Sharepoint Photography Word Indesign Css Hardware Instrumentation Javascript Administration System Design Budget Marketing Specifications Presentations Brand Adobe Sales Networking Photoshop Advertising Html Excel Engineering Training Agile Presentation Illustrator Testing Vendors Improvement Automation Access Sap Technical Retail Powerpoint Database Workflows Researching Project management Windows Regulations Lean Workflow Asset management,Bachelor of Arts   :  Graphic Design/Advertising
42156237.pdf,SENIOR DIGITAL MARKETING ANALYST, Segmentation Metrics Content Mysql R Requests Process German Modeling Investigations Pivot Javascript Etl Administration Sql Internal stakeholders Tableau Jira Design Budget Marketing Reports Ms project Datasets Investigate Visio Sales Html Reporting Excel Ms excel Python Improvement Experiments Access Php Database English Analyze Analytics Salesforce Analysis Mining Analytical,Masters of Business Administration MBA Bachelor of Sciences
80679862.pdf,DIGITAL MARKETING SPECIALIST, Segmentation Tv Content Policies Digital marketing User experience Process Video Scheduling Github Photography Editorial Strategy Word Website Sublime Microsoft excel Sketch Conversion Seo Operations Architecture Design Email Marketing Plan Reports Spreadsheets Wordpress Merchant Updates Teaching Presentations Adobe Brand Networking Sales Communication Coding E-commerce Acquisition Photoshop Advertising Html Time management Pr Reporting Excel Positioning Digital media Illustrator Testing Research Automation Cms Correspondence Technical Analyze Partnership Engagement Analytics Salesforce Analysis Social media Usability,Bachelor of Science Certified Professional Photographer (CPP)
25706337.pdf,DIGITAL MERCHANDISING ANALYST, Content Digital marketing Requests Payroll Photography Website Oracle Conversion Seo Finance System Email Marketing Spreadsheets Sales Affiliate Reporting Excel Merchandising Training Improvement Retail Project management Business management Analytics Analysis Social media Accounting,MBA: Marketing and Management Bachelor of Science   :  Business Management & Accounting
34319869.pdf,GLOBAL DIGITAL SERVICING ~ DIGITAL ONBOARDING COORDINATOR (CONTRACTOR), Partnerships Schedules Tv Metrics Content Distribution Policies Mobile Requests Legal Video Github Troubleshooting Strategy Word Operations Crm Finance Tableau System Budget Jira Marketing Reports Specifications Communication Audio Sales Adobe Spanish Reporting Excel Engineering Training Testing Licensing Logistics Access Sap Technical Workflows Powerpoint Partnership Researching Os Salesforce Analysis Acquisitions Broadcast Expenses Client relationships Accounting,USA  Bachelor of Arts   :   Communication ~ Media Management
33542483.pdf,DIGITAL CONTENT EDITOR, Content Requests Process Editorial Website Seo Newspaper Schedule Email Marketing Wordpress Updates Communication Sales Journalism Training Facebook Sports Project management Interactive Analytics International Twitter,Bachelor of Arts   :  Journalism
40311088.pdf,MEDIA SPECIALIST II, Partnerships Writing Tv Content Event planning Requests Computer science Video Scheduling Photography Marketing materials Website Administration Schedule Visual Design Budget Marketing Outreach Alliances Presentations Adobe Audio Programming Public relations Research Sports Access Editing Interactive,Bachelor of Science (BS) Associate of Art and Science (AAS)
31909493.pdf,DIGITAL CLIENT LEAD, Partnerships Proposal Tv Content Mobile Apis Inventory Process Strategy Website Conversion Seo Crm Budget Email Marketing Plan Updates Communication Invoices Brand Advertising Cpg Supervisor Pr Reporting Facebook Presentation Research Digital media Ux Rfp Vendors Retail Cms Technical Recruiting Database Partnership Interactive Engagement Analytics Analysis Social media International Relationship building Billing,BBA
50219114.pdf,DIGITAL STRATEGY MANAGER, Metrics Content Mobile User experience Key performance indicators Microsoft sharepoint Sharepoint Strategy Website Seo System Design Budget Marketing Reports Ios Click Wordpress Alliances Communication Brand Sales Adobe Photoshop Forecasts Html5 Budgeting Facebook Research Testing Ux Improvement Vendors Migration Technical Workflows Php Governance Project management Interactive Engagement Analytics Analysis Social media Usability Twitter,Master of Science   :   Technology Management Bachelor of Arts   :   Information Systems and Management
24953921.pdf,MEDIA SERVICES COORDINATOR, Schedules Construction Policies Billing Requests Legal Inventory Process Invoicing Travel arrangements Video Payroll Receivables Scheduling Css Cloud Administration Travel Operations Customer service Visual System Budget Design Reports Transactions Ios Specifications Presentations Adobe Communication Audio Sales Controls Security Financial reports Supervisor Pr Reporting Public relations Html5 Training Presentation Research Process improvements Correspondence Technical Php Mortgage Expenses Analysis International Deposits Analytical Accounting,Associate of Applied Science
26160200.pdf,"VICE PRESIDENT, DIRECTOR OF CLIENT SERVICES, DIGITAL", Partnerships Content Mobile Process Marketing materials Strategy Css Javascript Client services Website Human resources Business development Seo Design Marketing Standardization Information technology Intranet Communication Brand Sales Advertising Cpg Html Rfps Responses Testing Prototype Technical Project management Interactive Analysis Usability,BA BA in Communication
82929064.pdf,DIGITAL MEDIA MANAGER, Writing Metrics Content Mobile Video Strategy Hardware Finance Budget Reports Marketing Account management Spanish Facebook Research English Analyze Analytics Market research,Bachelor of Science   :  Finance & Entrepreneurship
90685127.pdf,"SENIOR MANAGER, DIGITAL MARKETING", Segmentation Content Digital marketing Mobile Strategy Administration Product development Conversion Crm Budget Email Marketing Plan Lifecycle Brand Adobe Sales Health Acquisition Affiliate Advertising Training Retail Retention Try Engagement Analytics Social media Analytical,Bachelor of Science   :  Business Administration
59011090.pdf,SOCIAL MEDIA COORDINATOR, Schedules Safety Writing Content Policies Word Design Email Marketing Outreach Communication Brand Sales Photoshop Advertising Spanish Forecasts Excel Facebook Research Powerpoint English Analytics Analysis Twitter,Bachelor of Arts Confidentiality
40883703.pdf,SENIOR MARKETING MANAGER, Partnerships Branding Segmentation Content Ecommerce Mobile Data analytics Editorial Strategy Administration Jose Business development Seo Budget Email Marketing Plan Lifecycle Click Brand Sales Acquisition Public relations Testing Ux Automation Partnership Analytics Sales goals,Masters of Business Administration Bachelor of Science
33893326.pdf,JR PUBLISHER MANAGER, Branding Tv Mobile Video Documentation Strategy Recruitment Website Travel Seo C Finance Budget Email Marketing Plan Design Transactions Statistics Mathematics Presentations Brand Communication E-commerce Acquisition Purchasing Advertising Html Pr Spanish Public relations Economics Graphic design Drafting Merchandising Facebook Research Technical Database English Analytics Analysis Mining Acquisitions Social media Market research Accounting,Master
30864828.pdf,DIGITAL PRODUCTION MANAGER, Safety Policies Adobe creative suite Inventory Process Process improvement Video Documentation Microsoft excel Quality control Design Transactions Financial management Spreadsheets Communication Networking Sales Adobe Quality standards Reporting Excel Graphic design Training Pharmacy Ordering Improvement Retail Telecom Inventory management Billing,Bachelor of Science   :  Communications Video Production Communications Video Production Associate of Arts and Sciences
31929166.pdf,COMMUNICATIONS SPECIALIST, Writing Adobe creative suite Recruitment Indesign Newspaper Visual System Design Plan Wordpress Adobe Communication Photoshop Journalism Pr Excel Public relations Microsoft office Facebook Presentation Research Illustrator Media relations Sports Technical Powerpoint Money Windows Social media Analytical Twitter,Bachelor of Science   :  Communication Journalism
56952849.pdf,IT & MEDIA ADMINISTRATOR, Installation Proposal Policies Mysql Inventory Process Documentation Troubleshooting Strategy Hardware Website Technical knowledge Administration Seo System Design Email Reports Marketing Technical issues Ios Specifications Linux Communication Networking Unix Security Cisco Graphic design Training Pharmacy Vendors Technical Retention Active directory Windows Help desk Certification,Bachelor of Science      Technical Management Graduated Magna Cum Laude GPA: 3.8
62700506.pdf,DIGITAL CONSULTANT, Metrics Content Business process Mobile Android Process Modeling Video Documentation Ai Product development Conversion Operations Product knowledge System Design Marketing Reports Lifecycle Ios Test plans Consulting Updates Alliances Profiling Communication Brand Sales Customer experience Pr Fulfillment Training Presentation Research Testing Ux Vendors Migration Technical Compliance Analyze Business cases Engagement Analysis International Analytical Accounting,BA
28679359.pdf,DIGITAL MARKETING MANAGER, Schedules Segmentation Writing Metrics Content Digital marketing Budget management Psychology Legal Marketing strategy Invoicing Process Sharepoint Documentation Strategy Website Administration Human resources Conversion Seo Jira Budget Email Marketing Reports Plan Analytical skills Click Specifications Presentations Brand Forecasting Sales Health Acquisition Reporting Budgeting Kpis Training Microsoft office Presentation Research Testing Vendors Marketing plans Recruiting Analyze Project management Interactive Windows Analytics Analysis Certification Market research Analytical Relationship building Business stakeholders Billing,BS
28109594.pdf,"CO-CEO, THE ""JILL-OF-ALL-TRADES""", Schedules Branding Supervising Tv Lighting Content Video Payroll Documentation Word Website Contracts Newspaper Visual Schedule Budget Design Marketing Plan Updates Wordpress Brand Adobe Photoshop Spanish Excel Budgeting Microsoft office Facebook Digital media Research Illustrator Phone calls Powerpoint Editing Project management Social media Twitter,Bachelor of Fine Arts Magna Cum Laude Honors Graduate 2008
91539554.pdf,MEDIA WEATHER FORECASTER, Audio Technical Tv Proposal Radar English Spanish System Forecasts Reports Analysis Video Training Research Communication,Bachelor degree Place of Birth: Havana
29002596.pdf,"DIRECTOR, GLOBAL DIGITAL MARKETING", Writing Content Process Documentation Marketing materials Strategy Sales goals Hardware Website Contracts Travel Seo Operations Finance Design Budget Marketing Profiling Presentations Sales Engineering Agile Training Fitness Marketing programs Retail Automation Sports Healthcare Technical Green Interactive Engagement Analytics Analysis Expenses Certification Social media Electrical Accounting,MBA Bachelor of Science
31162167.pdf,PUBLIC RELATIONS INTERN, Metrics Content Process Video Scheduling French Word Indesign Cloud Website Schedule Email Marketing Consulting Adobe Brand Sales Communication Security Coding E-commerce Photoshop Html Pr Responses Spanish Excel Public relations Training Facebook Positioning Illustrator Research Logistics Media relations Erp Powerpoint English Green Engagement Salesforce Social media Security clearance Twitter,Bachelors of Fine Arts
39166680.pdf,SR DIGITAL ANALYTICS MANAGER, Segmentation Ecommerce Mobile Inventory Strategy Ai Javascript Business strategy Cloud Website Conversion Sql Seo Operations Crm Tableau Architecture Email Marketing Plan Reports Click Merchant Presentations Adobe Brand Sales Customer experience Html Reporting Merchandising Testing Logistics Vendors Migration Automation Retail Technical Partnership Analytics Sas Salesforce Analysis Analytical,B.S
58915642.pdf,DIGITAL M&E RESEARCH INTERN, Partnerships Statistical analysis Content Microsoft office suite Strategy Finance System Budget Plan Consulting Spanish Excel Economics Training Presentation Research Logistics Java Partnership Big data Analysis Acquisitions,Bachelor of Science
94492380.pdf,DIRECTOR OF SOCIAL MEDIA MARKETING, Tv Content Distribution Mobile Video Strategy Budget Marketing Reports Strategic direction Brand Sales Publishing Programming Advertising Reporting Facebook Business management Interactive Social media Twitter,Columbia College  Director of Digital & Interactive Marketing Bachelor of Science   :  Business Management with Marketing Emphasis
70196518.pdf,SOCIAL MEDIA CONTENT CREATOR, Writing Communication Content Customer service Visual Employee engagement Marketing Engagement Windows Merchandising Training Facebook Outreach Strategy Twitter Brand,BA
91318828.pdf,DIGITAL ADVERTISING OPERATIONS INTERN, Safety Writing Metrics Content Mock Inventory Video Scheduling Repairs Indesign Travel Operations Customer service Visual Design Transactions Marketing Click Wordpress Adobe Communication Sales Networking Photoshop Advertising Journalism Supervisor Time management Microsoft office Training Facebook Ordering Compliance Payments Money Analytics Social media Inventory management Twitter,Bachelor of Science   :   Journalism and Mass Communication Advertising Art and Design
25723793.pdf,SALES REPRESENTATIVE, Partnerships Schedules Relationship management Construction Distribution Requests Inventory Marketing materials Word Indesign Administration Conversion Seo Transportation Budget Marketing Reports Quicken Click Communication Adobe Sales Forecasting Saas Photoshop Advertising Prospecting Excel Forecasts Supply chain Variances Access Compliance Analyze Salesforce Analysis Broadcast Sales goals International Accounting,Bachelor of Science   :  Marketing International Business
30504149.pdf,CHIEF DIGITAL OFFICER, Branding Tv Content Distribution Mobile Modeling Hotels Strategy Seo Crm Employee engagement Marketing Presentations E-commerce Programming Journalism Cpg Digital media Research Vendors Prototype Interactive Engagement Analytics Social media Staffing,Bachelor of Science BS degree in related field and 10-15 + years experienceB2C / B2B marketing focused in digital sector across multiple activities (e.g. media  search  social media  e-commerce) Content development  distribution  SEO/SEM Understanding of traditional media channels (TV  Print  OOH) Understanding of media planning (e.g.  CPM  reach/frequency  etc.) Ability to manage/mentor junior team members Understanding of digital shopper marketing  CRM/data-driven marketing
73282756.pdf,DIRECTOR OF DIGITAL INNOVATION AND STRATEGY, Audit C++ Supervising Metrics Content Inventory Process Scheduling Negotiation Editorial Change management Strategy Word Hardware Website Administration Product development Conversion Internal stakeholders Newspaper Operations Seo Queries System Budget Email Marketing Reports Plan Statistics Strategic initiatives External partners Specifications Updates Alliances Forecasting Sales Visio Photoshop Advertising Servers Procurement Rfps Spanish Reporting Excel Fulfillment Research Vendors Process development Access Technical Database English Project management Interactive Windows Analytics Analysis Analytical,Director of Online Operations MBA   :  Marketing Bachelors of Business Administration
25038571.pdf,DIGITAL PROJECT MANAGER, Metrics Digital marketing Marketing strategy Inventory Marketing materials Strategy Business development Design Marketing Outreach Brand Sales Procurement Pr Reporting Public relations Supply chain Training Facebook Research Soap Cross-functional team Retention Analytics Analysis Twitter,Bachelor of Science   :  Marketing and Business Management
25525152.pdf,EDITORIAL ASSISTANT, Writing Content Process Video Editorial Newspaper Visual Communication Publishing Photoshop Journalism Html Training Research Illustrator Technical Database Editing English Broadcast,Bachelor of Science   :  Journalism Bachelor of Science in Communication and Information with a major in Journalism and Electronic Media and a minor in English.  Activities and Honors Selected to participate in College of Communication and Information Global Scholars Study Abroad Program in Sydney  Australia for Spring 2016.
27419236.pdf,IMPLEMENTATION CONSULTANT, Writing Segmentation Data management Metrics Content Distribution Microsoft word Documentation Troubleshooting Word Indesign Css Cloud Website Quality control Contracts Sql Queries Budget Email Marketing Plan Design Test plans Wordpress Adobe Communication Coding Visio Publishing Photoshop Advertising Html Excel Training Facebook Illustrator Testing Vendors Quality assurance Access Technical Workflows English Project management Salesforce Certification Pmp,Bachelor of Arts   :  English    Bachelor of Arts   :  Political Science
27080812.pdf,VICE-PRESIDENT DATA AND MARKETING TECHNOLOGY, Metrics Content Digital marketing Mobile Process Video Strategy Administration Product development Conversion Seo Crm Finance Design Budget Marketing Reports Plan Product management Startup Consulting Communication Sales Product owner E-commerce Procurement Matrix Budgeting Agile Positioning Prototyping Research Machine learning Improvement Data quality Automation Cms Sourcing Compliance Retention Database Market research,Master of Business Administration Bachelor of Business Administration
30999638.pdf,SOCIAL MEDIA EVALUATOR, Writing Tax Metrics Policies Requests Process Troubleshooting Daily operations Word Operations Customer service System Marketing Protocols Communication Sales Supervisor Excel Training Facebook Research Powerpoint English Regulations Windows Social media Sales goals Twitter,Thomas Nelson Community College
28609364.pdf,BUSINESS DEVELOPMENT & DIGITAL MEDIA MARKETING SPECIALIST, Hospital Content Distribution Editorial Website Administration Business development Visual Budget External partners Marketing Plan Updates Communication Networking Sales Health Supervisor Therapeutic Research Retail Healthcare Database English Researching Project management Business management Social media International,Master of Business Administration MBA
37739183.pdf,DIRECTOR OF DONOR RELATIONS, Hospital Branding Supervising Relationship management Metrics Policies Adobe creative suite Process Video Sales goals Website Contracts Solicitation Finance System Budget Marketing Reports Plan Updates Brand Communication Networking Sales Audio Health Adobe Fundraising Advertising Html Reporting Public relations Budgeting Microsoft office Research Vendors Access Healthcare Electronics Sap Analysis Expenses Broadcast Admissions,B.A  Director of Special Events Director of Fund Development
15011085.pdf,DIRECTOR OF FINANCE, Partnerships Risk management Tax Metrics Business process Invoicing Process Inventory Key performance indicators Modeling Documentation Warehouse Payroll Journal entries Cost reduction Business analysis Oracle Conversion Operations Customer service Finance System Budget Reports Plan Business issues Presentations Communication Forecasting Sales Security Financial reports Supervisor Financial reporting Reporting Budgeting Engineering Training Presentation Research Logistics Gap analysis Kpi Vendors Erp Sap Powerpoint Database Analyze Analytics Lean Analysis Expenses Test cases Analytical Accounting,MBA  State Bachelor of Science   :   ACCOUNTING
18024825.pdf,PHD CANDIDATE IN FINANCE, Statistical analysis Hospital C++ Tax R Process Modeling Sql Finance Transactions Communication Engineering Research Testing Fabrication Sas Analysis International Analytical Chemistry Accounting,Ph.D.  B. Tech.   :  Metallurgical Engineering Ph.D.   :  Finance MBA
16449850.pdf,DIRECTOR OF FINANCE, Audit Supervising Tax Hotels Business analysis Strategy Hospitality Conversion Operations Finance System Budget Reports General ledger Forecasting Sales Controls Financial statements Acquisition Gaap Recruit Reporting Forecasts Budgeting Hotel Peoplesoft Analysis Financing Expenses Cash flow Accounting,Associate of Arts   :  Finance
11490673.pdf,FINANCE MANAGER, Schedules Tax Distribution Policies Billing R Inventory Process Reconciliation Payroll Daily operations Reconcile Contracts Administration Operations Finance System Reports Marketing Bank reconciliation Communication Forecasting Sales Controls Financial statements Affiliate Gaap Reporting Forecasts Budgeting Internal controls Training P Research Compliance Retention Database Interactive Regulations Analysis International Analytical Accounting,Bachelor of Science
12071138.pdf,DIRECTOR OF FINANCE, Audit Schedules Supervising Tax Policies Requests Legal Process Reconciliation Documentation Payroll Receivables Contracts Administration Operations Customer service Finance Schedule System Budget Coaching Reports Quickbooks Plan Transactions Financial management General ledger Financial analysis Controls Health Financial statements Financial reporting Filing Reporting Excel Accounting Banking Internal controls Microsoft office Training Presentation Variances Technical Compliance Analyze Project management Annual budget Regulations Human resource Analysis Staffing Analytical Billing,Business Administration B.S GPA:  with Honors   with Honors Office Administration Accounting Work History
14181049.pdf,DIRECTOR FINANCE AND FP&A, Writing Revenue growth Proposal Tax Billing Legal Inventory Process Process improvement Modeling Payroll Warehouse Real-time Regulatory Word Oracle Administration Sql Operations Finance System Budget Design Quickbooks Regulatory compliance Consulting Forecasting Communication Sales Networking Security Immigration Acquisition Financial reporting Reporting Excel Ms excel Budgeting Supply chain Engineering Licensing Rfp Kpi Improvement Peoplesoft Access Sap Erp Technical Compliance Powerpoint Database Healthcare Project management Engagement Analytics Salesforce Analysis Acquisitions Expenses International Analytical Accounting,Master of Business Administration Finance Bachelor of Science
11877150.pdf,FINANCE, Audit Process Modeling Word C Finance Transactions Reports Plan Marketing Communication Sales Controls Financial reports Reporting Excel Budgeting Research Variances Access English Expenses Analytical Accounting,S.E
11441764.pdf,FINANCE MANAGER, Audit Schedules Business process Policies Billing Inventory Process Reconciliation Payroll Documentation Warehouse Administration Contracts Travel Sql Operations Finance Budget Quickbooks Reports Forecasting Sales Controls Purchasing Gaap Financial reports Procurement Reporting Excel Internal controls Supply chain Engineering Training Variances Logistics Improvement Vendors Access Sap Compliance Sas Analysis Lean Iso Accounting,Bachelor of Science   :   Accounting Master of Business Administration
14722634.pdf,FINANCE DIRECTOR, Audit Schedules Tax Metrics Policies Process Payroll Documentation Negotiation Administration Contracts Human resources Finance Budget Financial management Reports Plan General ledger Regulatory requirements Updates Communication Forecasting Sales Controls Gaap Financial reports Procurement Financial reporting Filing Reporting Forecasts Budgeting Internal controls Training Vendors Improvement Correspondence Compliance Analyze Regulatory Cash flow Analytical Accounting,BA
15717923.pdf,SENIOR EXECUTIVE - FINANCE, Audit Tax Process Reconciliation Receivables Word Website Administration Finance System Reports General ledger Bank reconciliation Communication Invoices Sales Accounts payable Procurement Reporting Excel Ms excel Internal audit P Logistics Vendors Erp Sap Payments English Mis Windows Analysis Expenses Cash flow Analytical,M.B.A Finance Bachelor of Commerce Master of Business Administration B.com
10549585.pdf,FINANCE MANAGER/ OPERATIONS MANAGER, C++ Writing Schedules Installation Policies Mobile Requests Inventory Process Business analysis Documentation Negotiation Hardware Contracts Operations Strategic plans Finance Lan System Customer service Coaching Reports Marketing Specifications Communication Networking Sales Security Servers Procurement Merchandising Training Engineering Research Java Improvement Retail Technical Retention Software engineering Windows Analysis Cash flow Analytical,Masterof Science   :  Information Systems Bachelor of Science   :  Information Systems
14413148.pdf,FINANCE MANAGER, Audit Schedules Proposal Construction Payroll Negotiation Investigations Contracts Operations Finance System Budget Reports Plan Sales Accounts payable Purchasing Gaap Supervisor Reporting Excel Economics Budgeting Training Auditing Vendors Tomorrow Regulations Accounting,Bachelor of Science   :  Accounting
16426777.pdf,FINANCE DIRECTOR, Audit Tax Metrics Requests Inventory Process Documentation Word Contracts Administration Operations Finance Budget Marketing Reports Lifecycle Plan Mathematics Forecasting Sales Supply chain management Procurement Financial reporting Spanish Reporting Forecasts Excel Budgeting Engineering Variances Testing Research Improvement Access Sourcing Sap Recruiting Compliance Powerpoint Analyze Analysis International Chemistry,Master of Business Administration Bachelor of Arts   :  Chemistry Mathematics and Chinese
15891494.pdf,FINANCE OFFICER, Schedules Supervising Policies Billing Process Reconciliation Payroll Administration Operations Finance Budget Transactions Reports Financial analysis Forecasting Invoices Coding Controls Financial statements Procurement Supervisor Financial reporting Reporting Forecasts Budgeting Testing Improvement Sports Electronics Compliance Payments Analyze Money Regulations Analysis Mining Regulatory International Deposits Analytical Accounting,Bachelor of Science
14106638.pdf,"VICE PRESIDENT, CORPORATE FINANCE", Audit Hospital Tax Construction Proposal Requests Legal Process Payroll Recruitment Administration Operations Finance System Design Plan Consulting Merchant Counsel Presentations Health Financial statements Acquisition Gaap Reporting Accounting Forecasts Economics Banking Training Retail Healthcare Technical Compliance Governance Financing Higher education Investigation Billing,Bachelor of Science   :  Accountancy Speaker for Healthcare Financial Management Association and American Healthcare Lawyers Association
17880988.pdf,FINANCE AND OPERATIONS MANAGER, Audit Policies Distribution Data analysis Inventory Process Microsoft office suite Modeling Scheduling Receivables Journal entries Strategy Reconcile Operations management Administration Operations Crm Finance Financial performance System Budget Transactions Reports Quickbooks Investigate Communication Sales Controls Financial statements Purchasing Financial reports Continuous improvement Reporting Excel Forecasts Budgeting Internal controls Research Auditing Improvement Vendors Analyze Rq Salesforce Expenses Analysis Inventory management Cash flow Accounting,Master of Business Administration (MBA) Bachelor's In Business Administration (BBA)
14408510.pdf,FINANCE COORDINATOR, Data management Requests Inventory Process Sharepoint Reconciliation Receivables Warehouse Journal entries Word Pivot Microsoft excel Administration Crm Customer service Finance System Budget Transactions Marketing Reports General ledger Forecasting Brand Sales Pharmaceutical Coding Six sigma Gaap Reporting Excel Forecasts Training Access database Auditing Testing Variances Process improvements Access Sap Erp Retention Powerpoint Database Researching Pivot tables Analysis Cash flow Analytical Accounting,B.S
17392859.pdf,DIRECTOR OF FINANCE, Tax Policies Legal Inventory Process Reconciliation Documentation Journal entries Word Oracle Quality control Operations Finance System Transactions Reports Plan Quickbooks Strategic initiatives General ledger Controls Financial statements Financial reports Financial reporting Reporting Excel Budgeting Internal controls Training Research Variances Access Sap Powerpoint Analyze Analysis Analytical Accounting,MBA Bachelor of Science
12858898.pdf,FINANCE MANAGER, Metrics Requests Process Process improvement Human resources Conversion Operations Finance Design Budget Reports Plan General ledger Forecasting Sales Controls Financial reporting Reporting Forecasts Excel Budgeting Training Process improvements Improvement Automation Business management Mortgage Analytics Analysis Financing Acquisitions Accounting,B.S. MBA
17775916.pdf,FINANCE MANAGER, Audit Supervising Tax Lighting Reconciliation Scheduling Documentation Negotiation Oracle Operations Chemicals Finance C System Budget Financial management Bank reconciliation Forecasting Brand Sales Communication Time management Reporting Banking Budgeting Microsoft office Presentation Automation Erp Sap Mis Windows Analysis Expenses Mining Financing Cash flow Accounting,Bachelor of Commerce   :  2004
15792052.pdf,STUDENT FINANCE CONSULTANT, Audit Policies Data entry Process Reconciliation Scheduling Payroll Customer service Finance Transactions Reports Math Plan Analytical skills Spreadsheets Communication Sales Filing Reporting Accounting Training Research Auditing Hotel Compliance Analysis Regulatory Deposits Analytical Billing,Bachelors of Arts   :  Communications
26231609.pdf,FINANCE MANAGER, Audit Requests Legal Risk assessment Process Scheduling Journal entries Administration Finance Tableau Financial performance Budget Reports Updates Financial models Counsel Forecasting Controls Financial statements Financial reporting Reporting Excel Forecasts Budgeting Internal controls Internal audit Training Variances Testing Auditing Peoplesoft Access Business cases Analysis Expenses International Investigation Accounting,Bachelor of Science   :  Business Administration
22622351.pdf,FINANCE DIRECTOR, Audit Tax Inventory Process Contracts Travel Human resources Finance System Plan Analytical Updates Forecasting Sales Controls Acquisition Gaap Financial reporting Reporting Budgeting Training Fitness Human resource Analysis Acquisitions Electrical Outsourcing Accounting,Director of Finance & Human Resources Bachelors of Arts   :  Accounting
24854026.pdf,FINANCE CONSULTANT, Audit Data analysis Mobile Modeling Reconciliation Strategy Pivot Oracle Administration Sql Finance System Budget Marketing Reports Sales Vendor management Financial reporting Reporting Excel Variances Testing Retail Access Compliance Payments Iphone Project management Business cases Analytics Analysis Expenses Deposits Analytical,STEVENS INSTITUTE OF TECHNOLOGY  Master of Technology Management Bachelor of Science   :  Business Administration Finance
23573064.pdf,PROGRAMME FINANCE ASSOCIATE, Audit Risk management Policies Documentation Negotiation Recruitment Quality control Administration Operations Finance System Budget Reports Plan Teaching Communication Controls Security Reporting Budgeting Engineering Training Presentation Research Compliance English Project management Regulations Analysis Administrative support International Accounting,BSc. Civil Engineering
20836112.pdf,FINANCE DIRECTOR, Sales Writing Retention Fundraising Journalism Programming Editing Finance Email Marketing Social media,Bachelor of Arts   :  Journalism Associate of Arts   :  Creative Writing
